1999,true,true,true,true,true,true,true,true
2000,true,true,true,true,true,true,true,true
2001,true,true,true,true,true,true,true,true
2002,true,false,true,true,true,true,true,true
2003,true,false,true,true,true,false,true,true
2004,true,true,true,true,true,true,true,true
2005,true,true,true,true,true,true,true,true
2006,true,true,true,true,true,false,true,true
2007,true,true,true,true,true,true,true,false
2008,true,true,true,true,true,true,true,true
2009,true,true,true,true,true,false,true,true
2010,true,true,true,true,true,false,true,true
2011,true,true,true,true,false,true,true,true
2012,true,true,true,true,true,true,true,true
2013,true,true,true,true,false,false,true,true
2014,true,true,true,true,true,true,true,true
2015,true,true,true,true,false,true,true,true
2016,true,true,true,true,true,true,true,true
2017,true,true,true,true,true,true,true,false
2018,true,true,true,true,true,true,true,false
2019,true,true,false,false,true,true,true,false
2020,false,true,false,false,false,false,false,false
2021,false,false,false,false,false,false,false,false
2022,false,false,false,false,false,false,false,false
